	                                1993 Gulfwatch Metal Concentrations in ug/g DRY WEIGHT 													
							NEW BRUNSWICK							
Year	Station	Sample	Ag	Cd	Cr	Cu	Pb	Hg	Ni	Zn	Al	Fe	% Solids	
1993	Argyle Sound	3N	0.055	2.20	2.20	6.42	5.50	1.93	2.20	91.7	165	716	10.9
1993	Argyle Sound	4N	0.077	1.92	2.60	6.25	6.06	1.54	1.73	83.7	173	760	10.4
													
1993	Five Islands	1N	0.014	2.23	10.94	5.61	1.87	0.50	3.60	32.4	633	1295	13.9
1993	Five Islands	2N	ND.002	3.98	3.23	6.34	1.51	0.65	3.33	65.6	1043	1430	9.3
1993	Five Islands	3N	0.019	3.30	3.79	6.60	1.65	0.87	3.59	70.9	796	1330	10.3
1993	Five Islands	4N	ND.002	3.98	3.75	7.61	1.59	2.39	3.98	87.5	966	1386	8.8
														
	                        													
							MAINE							
Year	Station	Sample	Ag	Cd	Cr	Cu	Pb	Hg	Ni	Zn	Al	Fe	% Solids	
														
1993	Royal River	1N	0.044	2.31	1.76	8.46	1.87	1.32	1.87	108.8	253	484	9.1	
1993	Royal River	2N	0.042	2.19	1.77	8.44	2.29	0.94	1.67	114.6	323	604	9.6	
1993	Royal River	3N	0.042	1.98	1.77	8.75	2.29	1.67	1.67	114.6	292	583	9.6	
1993	Royal River	4N	0.022	1.61	1.29	7.96	1.83	0.97	1.40	76.3	172	430	9.3	
														
1993	Penobscot River	1N	0.132	1.72	1.46	7.95	1.52	0.46	1.13	79.5	106	265	15.1	
1993	Penobscot River	2N	0.142	2.20	2.41	7.16	2.13	0.57	1.63	78.0	184	433	14.1	
1993	Penobscot River	3N	0.069	1.88	1.88	7.64	1.74	0.63	1.25	76.4	90	347	14.4	
1993	Penobscot River	4N	0.032	1.90	1.19	6.83	1.90	0.56	1.51	95.2	135	429	12.6	
														
1993	Pickering Island	1N	0.151	1.76	1.09	5.38	1.34	0.25	1.34	117.6	59	218	11.9	
1993	Pickering Island	2N	0.135	1.80	1.05	5.34	1.35	0.30	1.28	112.8	60	218	13.3	
1993	Pickering Island	3N	0.197	1.46	1.61	4.89	1.02	2.04	1.24	109.5	66	241	13.7	
1993	Pickering Island	4N	0.037	1.47	1.40	6.62	1.32	0.96	1.10	80.9	154	412	13.6	
														
1993	Brave Boat Harbor	1N	0.252	2.94	3.45	7.14	2.61	0.76	3.19	126.1	151	429	11.9	
1993	Brave Boat Harbor	2N	0.257	3.12	2.29	5.87	2.84	0.64	3.49	100.9	138	404	10.9	
1993	Brave Boat Harbor	3N	0.230	3.10	2.04	6.81	2.65	0.35	2.83	123.9	142	425	11.3	
1993	Brave Boat Harbor	4N	0.076	2.14	4.43	8.40	5.95	1.07	2.37	122.1	275	618	13.1	
														
1993	Kennebec River	1N	0.078	2.56	2.64	7.83	1.55	0.39	1.47	72.1	132	357	12.9	
1993	Kennebec River	2N	0.076	2.35	1.52	7.65	1.52	0.68	1.44	75.0	114	333	13.2	
1993	Kennebec River	3N	0.069	1.79	1.52	7.59	1.24	0.41	1.24	63.4	124	317	14.5	
1993	Kennebec River	4N	0.032	1.92	1.44	8.32	2.08	0.96	1.44	104.0	176	432	12.5	
														
	                  													
							NEW HAMPSHIRE							
Year	Station	Sample	Ag	Cd	Cr	Cu	Pb	Hg	Ni	Zn	Al	Fe	% Solids	
														
1993	Clark Cove	1N	0.165	2.73	1.74	6.36	2.23	0.74	2.56	107.4	124	331	12.1	
1993	Clark Cove	2N	0.066	2.46	3.44	8.44	6.97	0.66	2.87	147.5	303	590	12.2	
1993	Clark Cove	3N	0.070	2.11	4.86	7.46	5.49	0.77	2.39	119.7	176	634	14.2	
1993	Clark Cove	4N	0.080	2.24	3.20	7.76	6.72	0.80	2.56	128.0	144	584	12.5	
														
1993	Hampton/Seabrook	1N	0.039	2.19	1.81	6.77	2.52	0.32	1.42	129.0	90	303	15.5	
1993	Hampton/Seabrook	2N	0.059	2.19	2.13	6.51	2.60	0.83	1.72	112.4	124	325	16.9	
1993	Hampton/Seabrook	3N	0.049	2.32	1.40	6.04	2.38	0.43	1.10	128.0	85	256	16.4	
1993	Hampton/Seabrook	4N	0.053	1.71	1.12	6.47	2.00	0.29	1.18	123.5	76	212	17	
														
	                                													
							MASSACHUSETTS							
Year	Station	Sample	Ag	Cd	Cr	Cu	Pb	Hg	Ni	Zn	Al	Fe	% Solids	
														
1993	Plymouth	1N	0.614	1.73	1.81	6.14	3.70	0.94	1.18	118.1	47	252	12.7
1993	Plymouth	2N	0.360	1.52	1.36	5.76	2.88	0.40	1.20	104.0	48	224	12.5
1993	Plymouth	3N	0.296	1.84	1.36	6.56	3.76	0.80	2.00	128.0	24	232	12.5
1993	Plymouth	4N	0.273	1.72	1.64	6.25	3.83	2.50	2.03	117.2	39	289	12.8
													
1993	Merrimac River	1N	0.152	3.18	2.42	6.14	4.77	0.76	1.59	113.6	45	371	13.2
1993	Merrimac River	2N	0.160	2.88	2.56	7.12	5.04	2.24	1.68	128.0	48	400	12.5
1993	Merrimac River	3N	0.153	2.29	2.75	6.34	4.58	0.76	1.53	114.5	46	427	13.1
1993	Merrimac River	4N	0.081	2.93	2.52	6.34	4.80	0.57	1.38	97.6	57	374	12.3
													
1993	Sandwich	1N	1.161	1.61	1.25	6.25	3.93	0.45	3.04	107.1	63	357	11.2
1993	Sandwich	2N	1.026	1.62	1.37	5.98	3.68	0.51	1.79	85.5	60	333	11.7
1993	Sandwich	3N	0.769	2.04	1.67	6.48	3.70	1.85	2.13	111.1	65	380	10.8
1993	Sandwich	4N	1.636	1.45	2.27	5.55	3.82	0.27	2.00	100.0	55	345	11
													
1993	MarbleHead	1N	0.344	1.30	2.34	5.97	3.18	1.10	1.56	123.4	97	338	15.4
1993	MarbleHead	2N	0.313	1.25	2.13	6.19	2.44	0.38	1.00	112.5	106	313	16
1993	MarbleHead	3N	0.195	1.01	1.89	5.72	2.89	0.38	1.07	113.2	75	277	15.9
1993	MarbleHead	4N	0.137	1.23	2.12	5.21	2.74	0.41	1.10	137.0	96	301	14.6
													
1993	Cohassett	1N	1.083	1.66	1.53	7.01	6.18	0.45	1.53	140.1	76	255	15.7
1993	Cohassett	2N	2.533	1.33	1.73	7.33	4.87	0.73	1.13	113.3	73	287	15
1993	Cohassett	3N	2.071	1.43	1.86	7.14	5.43	0.50	1.43	135.7	107	329	14
1993	Cohassett	4N	1.083	1.27	1.40	6.11	4.46	0.51	1.08	121.0	76	248	15.7
													
1993	Long Island	1N	0.433	1.63	3.05	8.51	9.93	0.85	1.28	170.2	163	496	14.1
1993	Long Island	2N	0.522	1.57	2.99	8.96	9.70	1.27	1.12	186.6	194	485	13.4
1993	Long Island	3N	0.489	1.65	2.63	8.27	7.52	0.98	1.65	157.9	135	436	13.3
1993	Long Island	4N	3.333	1.83	3.08	9.17	9.17	1.25	1.92	166.7	167	583	12
													

	"In 1993 there were no transplant experiments, thus all samples were of indigenous mussels (N) only"												
