1999 GULFWATCH METAL CONCENTRATIONS IN UG/G DRY WEIGHT													
													
Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID
1999	Pickering Island	2N	0.05	75	1.8	1	5.7	140	0.51	0.8	0.6	79	15.1
1999	Pickering Island	3N	0.1	71	2	1.4	6.2	140	0.47	1	0.6	73	14.3
1999	Pickering Island	4N	0.1	58	1.5	0.9	5.5	110	0.51	0.7	0.4	59	15.5

1999	"Fort Point, Penobscot River"	1N	0.05	80	1.1	0.9	5.1	200	0.5	0.6	0.8	58	18
1999	"Fort Point, Penobscot River"	2N	0.05	140	1.7	1.5	7.3	350	0.74	0.8	1.3	77	13.2
1999	"Fort Point, Penobscot River"	3N	0.05	130	1.3	1.1	6	300	0.48	0.8	1.2	77	17
1999	"Fort Point, Penobscot River"	4N	0.1	120	1.4	1.2	7.2	260	0.56	1.3	1.2	62	15

1999	Royal River	1N	ND 0.1	220	1.4	1.4	7.6	400	0.6	1.5	1.3	78	10.7
1999	Royal River	2N	ND 0.1	170	1.2	1	9.2	310	0.5	0.8	1.4	83	12.4
1999	Royal River	3N	ND 0.1	280	1.4	1.4	7.6	460	0.56	1	1.3	96	11.4
1999	Royal River	4N	ND 0.1	240	1.2	1.1	6.5	370	0.5	0.9	1.2	75	11.6

1999	Fore River	1N	0.05	440	2.2	1.9	8.4	760	1.14	1.8	7.2	190	9.7
1999	Fore River	2N	0.1	420	2	1.8	8.5	640	0.98	1.5	6.9	140	9.5
1999	Fore River	3N	0.1	270	1.8	1.4	7	480	0.95	1.2	5.6	130	9.7
1999	Fore River	4N	0.05	160	1.5	1.1	5.5	310	0.83	1.1	3.4	96	9.7

1999	Brave Boat Harbor	1N	0.2	230	1.3	1.7	5.7	260	0.32	2	1.1	84	12.5
1999	Brave Boat Harbor	2N	0.2	94	1.6	1.1	5.7	170	0.39	1.1	1.7	95	11.9
1999	Brave Boat Harbor	3N	0.2	120	1.5	1	5.8	200	0.44	0.9	1.5	66	11.8
1999	Brave Boat Harbor	4N	0.2	120	1.4	1	5.7	210	0.39	1	1.6	73	12

1999	Clarks Cove	1N	ND 0.1	160	1.5	1.8	6.5	280	0.63	1.1	3.6	120	11.7
1999	Clarks Cove	2N	ND 0.1	190	1.3	1.9	7.4	320	0.47	1.2	3.7	110	12.3
1999	Clarks Cove	3N	ND 0.1	210	1.5	2	7.4	350	0.6	1.4	4.3	110	11.8
1999	Clarks Cove	4N	ND 0.1	230	1.4	1.8	6.7	350	0.53	1.3	4.6	87	10.1
 													
Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID
 	New Hampshire					 							
													
1999	NH Port Authority	1N	ND 0.1	220	1.8	2.3	7.4	310	0.79	1.9	2.6	120	13.2
1999	NH Port Authority	2N	ND 0.1	190	1.8	2	8.1	290	0.55	1.6	2.7	120	14.5
1999	NH Port Authority	3N	ND 0.1	230	1.8	2	7.5	310	0.76	1.6	2.8	130	13.8
1999	NH Port Authority	4N	ND 0.1	200	2.2	2.2	8	330	0.75	1.4	3.9	130	14.9

1999	Hampton/Seabrook Estuary	1N	ND 0.1	180	1.6	1.3	7.5	260	0.4	1.3	2.5	94	14.9
1999	Hampton/Seabrook Estuary	2N	ND 0.1	170	2.1	1.5	7.8	270	0.39	1.2	3.5	130	15
1999	Hampton/Seabrook Estuary	3N	ND 0.1	150	2.1	1.2	7.2	240	0.37	1.4	2.5	130	18.2
1999	Hampton/Seabrook Estuary	4N	ND 0.1	180	2.2	1.2	7.7	260	0.34	0.9	1.8	98	17.8

1999	South Mill Pond	1N	ND 0.1	210	1.1	3	6.6	430	0.81	1.1	4.4	66	11.9
1999	South Mill Pond	2N	ND 0.1	270	1	2.8	6.7	490	0.87	1.2	5.1	57	12
1999	South Mill Pond	3N	ND 0.1	240	1	3.1	7.3	400	0.62	3.4	4.5	60	12
1999	South Mill Pond	4N	ND 0.1	230	1	2.4	6.8	400	0.78	1.3	4.1	62	11.4

1999	Pierce Island	1N	ND 0.1	150	2.1	2.8	8	330	0.67	1.4	4.3	140	14.6
1999	Pierce Island	2N	ND 0.1	200	2.3	3.8	7.9	360	0.67	1.3	4.7	150	13.3
1999	Pierce Island	3N	ND 0.1	180	2.4	2.6	7.6	330	0.49	1.4	4.3	130	13.6
1999	Pierce Island	4N	ND 0.1	270	2.7	3.1	9.1	510	0.85	1.5	6.2	180	13.1

1999	Fox Point	1N	0.1	300	2.4	2.8	7.3	440	0.71	1.4	2.9	130	9.3
1999	Fox Point	2N	0.1	270	2.2	2.5	7.4	420	0.72	1.6	2.9	120	9.8
1999	Fox Point	3N	0.2	270	1.9	2.4	7	400	0.68	1.5	2	100	10.3
1999	Fox Point	4N	0.05	300	2.5	2.7	7.5	460	0.7	1.6	3.4	160	9.6
 													
Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID
 	New Brunswick												
													
1999	Letang Estuary	1N	ND 0.1	170	1	0.8	6.2	250	0.23	0.6	1	58	18.9
1999	Letang Estuary	2N	ND 0.1	220	1.1	0.9	6.2	270	0.2	0.6	1	63	19
1999	Letang Estuary	3N	ND 0.1	150	1.1	0.8	5.3	240	0.23	0.5	1.1	66	18.7
1999	Letang Estuary	4N	ND 0.1	160	0.9	0.8	5.4	250	0.25	0.6	0.7	64	19

1999	St. Croix River	1N	0.05	260	1.2	1	4.5	340	0.29	0.9	2.7	64	15.2
1999	St. Croix River	2N	0.1	210	1.1	0.9	4.9	310	0.28	0.7	3	62	15.2
1999	St. Croix River	3N	0.05	240	1.2	1	4.5	320	0.27	0.8	1.9	59	17
1999	St. Croix River	4N	0.05	240	1.1	1	4.5	340	0.24	0.9	2.1	64	16.5

1999	Hospital Island	1N	ND 0.1	100	0.7	0.5	4.3	120	0.17	0.6	0.4	48	20.7
1999	Hospital Island	2N	ND 0.1	79	0.6	0.5	4.4	110	0.18	0.6	0.5	55	21.4
1999	Hospital Island	3N	ND 0.1	83	0.7	0.5	4.1	110	0.16	0.7	K 0.4	58	21.3
1999	Hospital Island	4N	ND 0.1	90	0.6	0.6	3.7	120	0.18	0.7	0.5	59	22.2
 													
Year	Station	Sample	AG	AL	CD	CR	CU	FE	HG	NI	PB	ZN	SOLID
 	Nova Scotia				 								

1999	Broad Cove	1N	0.1	240	2.5	1.9	5.9	340	0.41	0.9	2.1	64	12
1999	Broad Cove	2N	0.1	100	2.1	1.9	5.8	120	0.32	0.6	0.4	48	11.5
1999	Broad Cove	3N	0.1	270	2.3	1.7	5.6	470	0.41	1.7	2.2	97	11.3
1999	Broad Cove	4N	0.1	360	3	2	5.5	530	0.45	2.2	3.1	88	10.7

1999	Yarmouth	1N	0.7	280	1.5	1.6	6.3	460	0.42	1.7	2.3	79	12.8
1999	Yarmouth	2N	0.7	420	1.5	1.9	7.3	600	0.37	1.7	2.1	99	12.9
1999	Yarmouth	3N	0.5	250	1.4	1.5	6.3	480	0.39	1.4	2.6	90	14.2
1999	Yarmouth	4N	0.4	170	1.4	1.2	5.6	370	0.42	1.3	2.5	78	14

1999	Argyle	1N	0.05	110	1.4	1.2	5.3	260	0.46	1.2	2.9	81	12.3
1999	Argyle	2N	0.1	160	1.5	1.4	5.8	330	0.49	1.6	3	82	12
1999	Argyle	3N	0.1	150	1.4	1.3	5.2	320	0.59	1.5	3.6	95	13.1
1999	Argyle	4N	0.1	140	1.7	1.3	3.4	330	0.62	1.3	3.9	86	11.9

1999	Digby	1N	K 0.1	210	1.1	0.9	6.8	300	0.27	0.9	1.9	81	19
1999	Digby	2N	ND 0.1	200	1	0.9	7.1	290	0.26	0.8	1.6	72	20.1
1999	Digby	3N	ND 0.1	210	1.3	0.9	6.6	320	0.36	1	2.4	72	18.3
1999	Digby	4N	ND 0.1	170	0.9	0.8	6.2	250	0.29	0.8	1.5	63	19.5

1999	Five Islands	1N - dep	0.05	24	2.4	0.9	4.3	110	0.39	1.2	0.7	61	13
1999	Five Islands	2N - dep	0.01	32	2.5	0.9	4	100	0.43	1.5	0.6	58	12.2
1999	Five Islands	3N - dep	0.05	39	2.5	0.9	4.3	130	0.43	1.1	0.8	62	12.2
1999	Five Islands	4N - dep	0.1	65	2.6	1.2	4.7	160	0.41	1.4	1.1	68	12.6

1999	Five Islands	1N	ND 0.1	610	2.1	1.6	5.3	780	0.35	1.7	0.8	66	12.7
1999	Five Islands	2N	ND 0.1	960	2.8	2.3	6.2	1200	0.38	2.5	1.5	84	11.6
1999	Five Islands	3N	ND 0.1	590	2.5	1.5	4.9	740	0.4	1.8	0.9	58	12
1999	Five Islands	4N	ND 0.1	600	2.4	1.8	4.8	790	0.5	2.1	1	68	10.6
