GULF OF MAINE 1994 MUSSEL SAMPLES							

Polyaromatic Hydrocarbons in Mytilus edulis							
Tissue Concentrations (ng/g dry weight)							

            PAH	NSFIN10	NSFIN20	NSFIN30	NSFIN40	NSDIN10	NSDIN20	NSDIN30
GULF OF MAINE 1994 MUSSEL SAMPLES							

Polyaromatic Hydrocarbons in Mytilus edulis							
Tissue Concentrations (ng/g dry weight)							

            PAH	NBNR4	NBHI1	NBHI2	NBHI3	NBHI4	NBLB1	NBLB2


Naphthalene	<30	<30	<30/<30	<30	<30	<30	<30
2-Me naphthalene	<30	<30	<30/<30	<30	<30	<30	<30
1-Me naphthalene	<30	<30	<30/<30	<30	<30	<30	<30
Biphenyl	<20	<20	<20/<20	<20	<20	<20	<20
"2,6-Dime naphthalen"	<20	<20	<20/<20	<20	<20	<20	<20
Acenaphthylene	<10	<10	<10/<10	<10	<10	<10	<10
Acenaphthene	<10	<10	<10/<10	<10	<10	<10	<10
"2,3,5-Trime naphthal"	<20	<20	<10/<10	<20	<20	<20	<20
Fluorene	<10	<10	<10/<10	<10	<10	<10	<10
Phenanthrene	<10	<10	<10/<10	<10	<10	<10	<10
Anthracene	<10	<10	<10/<10	<10	<10	<10	<10
1-Me phenanthrene	<10	<10	<10/<10	<10	<10	<10	<10
Fluoranthene	<10	<10	<10/<10	<10	<10	<10	<10
Pyrene	<10	<10	<10/<10	<10	<10	<10	<10
Benzo(a)anthracene	<10	<10	<10/<10	<10	<10	<10	<10
Chrysene	<10	<10	<10/<10	<10	<10	<10	<10
Benzo(b+k)fluoranthen	<10	<10	<10/<10	<10	<10	<10	<10
Benzo(e)pyrene	<10	<10	<10/<10	<10	<10	<10	<10
Benzo(a)pyrene	<10	<10	<10/<10	<10	<10	<10	<10
Perylene	<10	<10	<10/<10	<10	<10	<10	<10
Indeno(123cd)pyren	<10	<10	<10/<10	<10	<10	<10	<10
Dibenzo(ah)anthrace	<10	<10	<10/<10	<10	<10	<10	<10
Benzo(ghi)perylene	<10	<10	<10/<10	<10	<10	<10	<10

TOTAL	ND	ND	ND/ND	ND	ND	ND	ND


Surrogate Recovery (%)							

Naph-d8	38	51	45/52	59	55	42	41
Anap-d10	47	61	60/64	66	70	52	48
Phena-d10	71	89	91/87	96	88	76	72
Fluora-d10	84	101	94/101	107	98	87	89
Chry-d12	75	86	81/85	92	93	77	83
BaP-d12	66	71	68/72	73	75	64	73
BghiP-d12	75	93	90/93	99	88	67	85










GULF OF MAINE 1994 MUSSEL SAMPLES		

Polyaromatic Hydrocarbons in Mytilus edulis		
Tissue Concentrations (ng/g dry weight)		

            PAH	NBLB3	NBLB4


Naphthalene	<30	Broken on
2-Me naphthalene	<30	arrival
1-Me naphthalene	<30	
Biphenyl	<20	
"2,6-Dime naphthalen"	<20
Acenaphthylene	<10
Acenaphthene	<10
"2,3,5-Trime naphthal"	<20
Fluorene	<10
Phenanthrene	<10
Anthracene	<10
1-Me phenanthrene	<10
Fluoranthene	<10
Pyrene	<10
Benzo(a)anthracene	<10
Chrysene	<10
Benzo(b+k)fluoranthen	<10
Benzo(e)pyrene	<10
Benzo(a)pyrene	<10
Perylene	<10
Indeno(123cd)pyren	<10
Dibenzo(ah)anthrace	<10
Benzo(ghi)perylene	<10

TOTAL	ND


Surrogate Recovery (%)	

Naph-d8	43
Anap-d10	53
Phena-d10	72
Fluora-d10	87
Chry-d12	77
BaP-d12	70
BghiP-d12	68
